item_id,label,item_type,under_contract,vendor,unit_cost,budget_line,approving_employee,department_use
168812817-4,lorem ipsum dolor,Often,TRUE,,$528.94 ,29817,44-382-2499,Facilities
881052811-5,id mauris vulputate,Daily,TRUE,,$989.59 ,64851,91-471-6377,Maint
056245242-7,orci nullam molestie,Seldom,TRUE,,$500.92 ,28748,35-550-0099,Caretaker
591230628-3,montes,Once,TRUE,India Juliett Zulu Echo Delta Hotel Sierra Kilo Yankee Bravo Papa November Foxtrot Tango,$658.86 ,51241,58-185-2572,Caretaker
896539067-2,justo eu massa,Weekly,TRUE,,$359.06 ,59897,60-786-3941,Accounting
684869121-6,neque aenean,Monthly,TRUE,Whiskey Yankee Golf Uniform Charlie Alfa Oscar Sierra India Juliett Echo Papa Zulu November,$740.53 ,50462,08-638-4671,Facilities
234344164-2,volutpat,Weekly,TRUE,Echo Whiskey Foxtrot Uniform Papa Charlie Delta Hotel November Sierra,$232.59 ,68406,38-190-6696,Maint
971912850-X,eros,Seldom,FALSE,Victor Charlie Lima Golf Mike Papa Whiskey Hotel Yankee Tango India Zulu Foxtrot Bravo,$643.95 ,4137,68-509-2449,Custodial
241054402-9,neque duis bibendum,Often,TRUE,Charlie Uniform Alfa Papa Tango Oscar Golf Juliett November Romeo Mike Quebec,$228.00 ,84694,18-137-1335,Maint
854361287-X,sociis natoque penatibus,Seldom,TRUE,Bravo Whiskey Golf Kilo Uniform India November Yankee Tango Juliett Sierra Alfa Mike Oscar Charlie,$543.45 ,73920,11-244-8705,Patient_services
069675349-9,ultricies eu,Seldom,TRUE,Papa Whiskey Zulu Hotel Oscar Quebec Alfa Sierra Golf X-ray November Charlie,$490.59 ,31431,03-991-7178,Maint
928827373-5,risus semper porta,Monthly,TRUE,Quebec Whiskey Bravo Lima Kilo Charlie Zulu Papa Delta Echo Victor,$104.71 ,90909,09-692-5438,Custodial
856761324-8,sapien ut nunc,Yearly,FALSE,Mike Uniform Charlie Hotel Lima Delta Quebec Victor Foxtrot Oscar X-ray November Sierra Kilo Golf Bravo Yankee Alfa Papa,$574.83 ,90682,12-253-9361,Accounting
297885633-5,elit ac,Once,TRUE,Yankee Victor Oscar Golf Papa Juliett Lima November Delta Romeo Hotel India Uniform Zulu,$556.84 ,71524,67-908-8782,Maint
